#file-version:0.1
#Dict{String,Any}(Pair{String,Any}("estimation-args", Dict{String,Any}(Pair{String,Any}("delta_ball", 0.015),Pair{String,Any}("num-per-dim", 0x0000000000000065),Pair{String,Any}("delta_t", 0.06),Pair{String,Any}("bounds", [0.0 2.0; 0.0 3.0]))),Pair{String,Any}("model-params", Dict{String,Any}(Pair{String,Any}("u+", 0.5),Pair{String,Any}("u-", -0.5))),Pair{String,Any}("model", "consum"),Pair{String,Any}("dimension", 2))
[1.12, 0.27]; 0
[1.14, 0.27]; 0
[1.16, 0.27]; 0
[1.18, 0.27]; 0
[1.2, 0.27]; 0
[1.22, 0.27]; 0
[1.24, 0.27]; 0
[1.26, 0.27]; 0
[1.28, 0.27]; 0
[1.3, 0.27]; 0
[1.32, 0.27]; 0
[1.34, 0.27]; 0
[1.36, 0.27]; 0
[1.38, 0.27]; 0
[1.4, 0.27]; 0
[1.42, 0.27]; 0
[1.44, 0.27]; 0
[1.46, 0.27]; 0
[1.48, 0.27]; 0
[1.5, 0.27]; 0
[1.52, 0.27]; 0
[1.54, 0.27]; 0
[1.56, 0.27]; 0
[1.58, 0.27]; 0
[1.6, 0.27]; 0
[1.62, 0.27]; 0
[1.64, 0.27]; 0
[1.66, 0.27]; 0
[1.68, 0.27]; 0
[1.7, 0.27]; 0
[1.72, 0.27]; 0
[1.74, 0.27]; 0
[1.76, 0.27]; 0
[1.78, 0.27]; 0
[1.8, 0.27]; 0
[1.82, 0.27]; 0
[1.84, 0.27]; 0
[1.86, 0.27]; 0
[1.88, 0.27]; 0
[1.9, 0.27]; 0
[1.92, 0.27]; 0
[1.94, 0.27]; 0
[1.96, 0.27]; 0
[1.98, 0.27]; 0
[2.0, 0.27]; 0
[0.0, 0.3]; 0
[0.02, 0.3]; 0
[0.04, 0.3]; 0
[0.06, 0.3]; 0
[0.08, 0.3]; 0
[0.1, 0.3]; 0
[0.12, 0.3]; 1
[0.14, 0.3]; 1
[0.16, 0.3]; 1
[0.18, 0.3]; 1
[0.2, 0.3]; 1
[0.22, 0.3]; 1
[0.24, 0.3]; 1
[0.26, 0.3]; 1
[0.28, 0.3]; 1
[0.3, 0.3]; 1
[0.32, 0.3]; 1
[0.34, 0.3]; 1
[0.36, 0.3]; 1
[0.38, 0.3]; 1
[0.4, 0.3]; 1
[0.42, 0.3]; 1
[0.44, 0.3]; 1
[0.46, 0.3]; 1
[0.48, 0.3]; 1
[0.5, 0.3]; 1
[0.52, 0.3]; 1
[0.54, 0.3]; 1
[0.56, 0.3]; 1
[0.58, 0.3]; 1
[0.6, 0.3]; 1
[0.62, 0.3]; 1
[0.64, 0.3]; 1
[0.66, 0.3]; 1
[0.68, 0.3]; 1
[0.7, 0.3]; 1
[0.72, 0.3]; 1
[0.74, 0.3]; 1
[0.76, 0.3]; 1
[0.78, 0.3]; 1
[0.8, 0.3]; 1
[0.82, 0.3]; 1
[0.84, 0.3]; 1
[0.86, 0.3]; 1
[0.88, 0.3]; 1
[0.9, 0.3]; 1
[0.92, 0.3]; 1
[0.94, 0.3]; 1
[0.96, 0.3]; 0
[0.98, 0.3]; 0
[1.0, 0.3]; 0
[1.02, 0.3]; 0
[1.04, 0.3]; 0
[1.06, 0.3]; 0
[1.08, 0.3]; 0
[1.1, 0.3]; 0
[1.12, 0.3]; 0
[1.14, 0.3]; 0
[1.16, 0.3]; 0
[1.18, 0.3]; 0
[1.2, 0.3]; 0
[1.22, 0.3]; 0
[1.24, 0.3]; 0
[1.26, 0.3]; 0
[1.28, 0.3]; 0
[1.3, 0.3]; 0
[1.32, 0.3]; 0
[1.34, 0.3]; 0
[1.36, 0.3]; 0
[1.38, 0.3]; 0
[1.4, 0.3]; 0
[1.42, 0.3]; 0
[1.44, 0.3]; 0
[1.46, 0.3]; 0
[1.48, 0.3]; 0
[1.5, 0.3]; 0
[1.52, 0.3]; 0
[1.54, 0.3]; 0
[1.56, 0.3]; 0
[1.58, 0.3]; 0
[1.6, 0.3]; 0
[1.62, 0.3]; 0
[1.64, 0.3]; 0
[1.66, 0.3]; 0
[1.68, 0.3]; 0
[1.7, 0.3]; 0
[1.72, 0.3]; 0
[1.74, 0.3]; 0
[1.76, 0.3]; 0
[1.78, 0.3]; 0
[1.8, 0.3]; 0
[1.82, 0.3]; 0
[1.84, 0.3]; 0
[1.86, 0.3]; 0
[1.88, 0.3]; 0
[1.9, 0.3]; 0
[1.92, 0.3]; 0
[1.94, 0.3]; 0
[1.96, 0.3]; 0
[1.98, 0.3]; 0
[2.0, 0.3]; 0
[0.0, 0.33]; 0
[0.02, 0.33]; 0
[0.04, 0.33]; 0
[0.06, 0.33]; 0
[0.08, 0.33]; 0
[0.1, 0.33]; 1
[0.12, 0.33]; 1
[0.14, 0.33]; 1
[0.16, 0.33]; 1
[0.18, 0.33]; 1
[0.2, 0.33]; 1
[0.22, 0.33]; 1
[0.24, 0.33]; 1
[0.26, 0.33]; 1
[0.28, 0.33]; 1
[0.3, 0.33]; 1
[0.32, 0.33]; 1
[0.34, 0.33]; 1
[0.36, 0.33]; 1
[0.38, 0.33]; 1
[0.4, 0.33]; 1
[0.42, 0.33]; 1
[0.44, 0.33]; 1
[0.46, 0.33]; 1
[0.48, 0.33]; 1
[0.5, 0.33]; 1
[0.52, 0.33]; 1
[0.54, 0.33]; 1
[0.56, 0.33]; 1
[0.58, 0.33]; 1
[0.6, 0.33]; 1
[0.62, 0.33]; 1
[0.64, 0.33]; 1
[0.66, 0.33]; 1
[0.68, 0.33]; 1
[0.7, 0.33]; 1
[0.72, 0.33]; 1
[0.74, 0.33]; 1
[0.76, 0.33]; 1
[0.78, 0.33]; 1
[0.8, 0.33]; 1
[0.82, 0.33]; 1
[0.84, 0.33]; 1
[0.86, 0.33]; 1
[0.88, 0.33]; 1
[0.9, 0.33]; 1
[0.92, 0.33]; 1
[0.94, 0.33]; 1
[0.96, 0.33]; 1
[0.98, 0.33]; 0
[1.0, 0.33]; 0
[1.02, 0.33]; 0
[1.04, 0.33]; 0
[1.06, 0.33]; 0
[1.08, 0.33]; 0
[1.1, 0.33]; 0
[1.12, 0.33]; 0
[1.14, 0.33]; 0
[1.16, 0.33]; 0
[1.18, 0.33]; 0
[1.2, 0.33]; 0
[1.22, 0.33]; 0
[1.24, 0.33]; 0
[1.26, 0.33]; 0
[1.28, 0.33]; 0
[1.3, 0.33]; 0
[1.32, 0.33]; 0
[1.34, 0.33]; 0
[1.36, 0.33]; 0
[1.38, 0.33]; 0
[1.4, 0.33]; 0
[1.42, 0.33]; 0
[1.44, 0.33]; 0
[1.46, 0.33]; 0
[1.48, 0.33]; 0
[1.5, 0.33]; 0
[1.52, 0.33]; 0
[1.54, 0.33]; 0
[1.56, 0.33]; 0
[1.58, 0.33]; 0
[1.6, 0.33]; 0
[1.62, 0.33]; 0
[1.64, 0.33]; 0
[1.66, 0.33]; 0
[1.68, 0.33]; 0
[1.7, 0.33]; 0
[1.72, 0.33]; 0
[1.74, 0.33]; 0
[1.76, 0.33]; 0
[1.78, 0.33]; 0
[1.8, 0.33]; 0
[1.82, 0.33]; 0
[1.84, 0.33]; 0
[1.86, 0.33]; 0
[1.88, 0.33]; 0
[1.9, 0.33]; 0
[1.92, 0.33]; 0
[1.94, 0.33]; 0
[1.96, 0.33]; 0
[1.98, 0.33]; 0
[2.0, 0.33]; 0
[0.0, 0.36]; 0
[0.02, 0.36]; 0
[0.04, 0.36]; 0
[0.06, 0.36]; 0
[0.08, 0.36]; 0
[0.1, 0.36]; 0
[0.12, 0.36]; 1
[0.14, 0.36]; 1
[0.16, 0.36]; 1
[0.18, 0.36]; 1
[0.2, 0.36]; 1
[0.22, 0.36]; 1
[0.24, 0.36]; 1
[0.26, 0.36]; 1
[0.28, 0.36]; 1
[0.3, 0.36]; 1
[0.32, 0.36]; 1
[0.34, 0.36]; 1
[0.36, 0.36]; 1
[0.38, 0.36]; 1
[0.4, 0.36]; 1
[0.42, 0.36]; 1
[0.44, 0.36]; 1
[0.46, 0.36]; 1
[0.48, 0.36]; 1
[0.5, 0.36]; 1
[0.52, 0.36]; 1
[0.54, 0.36]; 1
[0.56, 0.36]; 1
[0.58, 0.36]; 1
[0.6, 0.36]; 1
[0.62, 0.36]; 1
[0.64, 0.36]; 1
[0.66, 0.36]; 1
[0.68, 0.36]; 1
[0.7, 0.36]; 1
[0.72, 0.36]; 1
[0.74, 0.36]; 1
[0.76, 0.36]; 1
[0.78, 0.36]; 1
[0.8, 0.36]; 1
[0.82, 0.36]; 1
[0.84, 0.36]; 1
[0.86, 0.36]; 1
[0.88, 0.36]; 1
[0.9, 0.36]; 1
[0.92, 0.36]; 1
[0.94, 0.36]; 1
[0.96, 0.36]; 1
[0.98, 0.36]; 1
[1.0, 0.36]; 1
[1.02, 0.36]; 0
[1.04, 0.36]; 0
[1.06, 0.36]; 0
[1.08, 0.36]; 0
[1.1, 0.36]; 0
[1.12, 0.36]; 0
[1.14, 0.36]; 0
[1.16, 0.36]; 0
[1.18, 0.36]; 0
[1.2, 0.36]; 0
[1.22, 0.36]; 0
[1.24, 0.36]; 0
[1.26, 0.36]; 0
[1.28, 0.36]; 0
[1.3, 0.36]; 0
[1.32, 0.36]; 0
[1.34, 0.36]; 0
[1.36, 0.36]; 0
[1.38, 0.36]; 0
[1.4, 0.36]; 0
[1.42, 0.36]; 0
[1.44, 0.36]; 0
[1.46, 0.36]; 0
[1.48, 0.36]; 0
[1.5, 0.36]; 0
[1.52, 0.36]; 0
[1.54, 0.36]; 0
[1.56, 0.36]; 0
[1.58, 0.36]; 0
[1.6, 0.36]; 0
[1.62, 0.36]; 0
[1.64, 0.36]; 0
[1.66, 0.36]; 0
[1.68, 0.36]; 0
[1.7, 0.36]; 0
[1.72, 0.36]; 0
[1.74, 0.36]; 0
[1.76, 0.36]; 0
[1.78, 0.36]; 0
[1.8, 0.36]; 0
[1.82, 0.36]; 0
[1.84, 0.36]; 0
[1.86, 0.36]; 0
[1.88, 0.36]; 0
[1.9, 0.36]; 0
[1.92, 0.36]; 0
[1.94, 0.36]; 0
[1.96, 0.36]; 0
[1.98, 0.36]; 0
[2.0, 0.36]; 0
[0.0, 0.39]; 0
[0.02, 0.39]; 0
[0.04, 0.39]; 0
[0.06, 0.39]; 0
[0.08, 0.39]; 0
[0.1, 0.39]; 0
[0.12, 0.39]; 0
[0.14, 0.39]; 1
[0.16, 0.39]; 1
[0.18, 0.39]; 1
[0.2, 0.39]; 1
[0.22, 0.39]; 1
[0.24, 0.39]; 1
[0.26, 0.39]; 1
[0.28, 0.39]; 1
[0.3, 0.39]; 1
[0.32, 0.39]; 1
[0.34, 0.39]; 1
[0.36, 0.39]; 1
[0.38, 0.39]; 1
[0.4, 0.39]; 1
[0.42, 0.39]; 1
[0.44, 0.39]; 1
[0.46, 0.39]; 1
[0.48, 0.39]; 1
[0.5, 0.39]; 1
[0.52, 0.39]; 1
[0.54, 0.39]; 1
[0.56, 0.39]; 1
[0.58, 0.39]; 1
[0.6, 0.39]; 1
[0.62, 0.39]; 1
[0.64, 0.39]; 1
[0.66, 0.39]; 1
[0.68, 0.39]; 1
[0.7, 0.39]; 1
[0.72, 0.39]; 1
[0.74, 0.39]; 1
[0.76, 0.39]; 1
[0.78, 0.39]; 1
[0.8, 0.39]; 1
[0.82, 0.39]; 1
[0.84, 0.39]; 1
[0.86, 0.39]; 1
[0.88, 0.39]; 1
[0.9, 0.39]; 1
[0.92, 0.39]; 1
[0.94, 0.39]; 1
[0.96, 0.39]; 1
[0.98, 0.39]; 1
[1.0, 0.39]; 1
[1.02, 0.39]; 1
[1.04, 0.39]; 0
[1.06, 0.39]; 0
[1.08, 0.39]; 0
[1.1, 0.39]; 0
[1.12, 0.39]; 0
[1.14, 0.39]; 0
[1.16, 0.39]; 0
[1.18, 0.39]; 0
[1.2, 0.39]; 0
[1.22, 0.39]; 0
[1.24, 0.39]; 0
[1.26, 0.39]; 0
[1.28, 0.39]; 0
[1.3, 0.39]; 0
[1.32, 0.39]; 0
[1.34, 0.39]; 0
[1.36, 0.39]; 0
[1.38, 0.39]; 0
[1.4, 0.39]; 0
[1.42, 0.39]; 0
[1.44, 0.39]; 0
[1.46, 0.39]; 0
[1.48, 0.39]; 0
[1.5, 0.39]; 0
[1.52, 0.39]; 0
[1.54, 0.39]; 0
[1.56, 0.39]; 0
[1.58, 0.39]; 0
[1.6, 0.39]; 0
[1.62, 0.39]; 0
[1.64, 0.39]; 0
[1.66, 0.39]; 0
[1.68, 0.39]; 0
[1.7, 0.39]; 0
[1.72, 0.39]; 0
[1.74, 0.39]; 0
[1.76, 0.39]; 0
[1.78, 0.39]; 0
[1.8, 0.39]; 0
[1.82, 0.39]; 0
[1.84, 0.39]; 0
[1.86, 0.39]; 0
[1.88, 0.39]; 0
[1.9, 0.39]; 0
[1.92, 0.39]; 0
[1.94, 0.39]; 0
[1.96, 0.39]; 0
[1.98, 0.39]; 0
[2.0, 0.39]; 0
[0.0, 0.42]; 0
[0.02, 0.42]; 0
[0.04, 0.42]; 0
[0.06, 0.42]; 0
[0.08, 0.42]; 0
[0.1, 0.42]; 0
[0.12, 0.42]; 0
[0.14, 0.42]; 0
[0.16, 0.42]; 1
[0.18, 0.42]; 1
[0.2, 0.42]; 1
[0.22, 0.42]; 1
[0.24, 0.42]; 1
[0.26, 0.42]; 1
[0.28, 0.42]; 1
[0.3, 0.42]; 1
[0.32, 0.42]; 1
[0.34, 0.42]; 1
[0.36, 0.42]; 1
[0.38, 0.42]; 1
[0.4, 0.42]; 1
[0.42, 0.42]; 1
[0.44, 0.42]; 1
[0.46, 0.42]; 1
[0.48, 0.42]; 1
[0.5, 0.42]; 1
[0.52, 0.42]; 1
[0.54, 0.42]; 1
[0.56, 0.42]; 1
[0.58, 0.42]; 1
[0.6, 0.42]; 1
[0.62, 0.42]; 1
[0.64, 0.42]; 1
[0.66, 0.42]; 1
[0.68, 0.42]; 1
[0.7, 0.42]; 1
[0.72, 0.42]; 1
[0.74, 0.42]; 1
[0.76, 0.42]; 1
[0.78, 0.42]; 1
[0.8, 0.42]; 1
[0.82, 0.42]; 1
[0.84, 0.42]; 1
[0.86, 0.42]; 1
[0.88, 0.42]; 1
[0.9, 0.42]; 1
[0.92, 0.42]; 1
[0.94, 0.42]; 1
[0.96, 0.42]; 1
[0.98, 0.42]; 1
[1.0, 0.42]; 1
[1.02, 0.42]; 1
[1.04, 0.42]; 1
[1.06, 0.42]; 0
[1.08, 0.42]; 0
[1.1, 0.42]; 0
[1.12, 0.42]; 0
[1.14, 0.42]; 0
[1.16, 0.42]; 0
[1.18, 0.42]; 0
[1.2, 0.42]; 0
[1.22, 0.42]; 0
[1.24, 0.42]; 0
[1.26, 0.42]; 0
[1.28, 0.42]; 0
[1.3, 0.42]; 0
[1.32, 0.42]; 0
[1.34, 0.42]; 0
[1.36, 0.42]; 0
[1.38, 0.42]; 0
[1.4, 0.42]; 0
[1.42, 0.42]; 0
[1.44, 0.42]; 0
[1.46, 0.42]; 0
[1.48, 0.42]; 0
[1.5, 0.42]; 0
[1.52, 0.42]; 0
[1.54, 0.42]; 0
[1.56, 0.42]; 0
[1.58, 0.42]; 0
[1.6, 0.42]; 0
[1.62, 0.42]; 0
[1.64, 0.42]; 0
[1.66, 0.42]; 0
[1.68, 0.42]; 0
[1.7, 0.42]; 0
[1.72, 0.42]; 0
[1.74, 0.42]; 0
[1.76, 0.42]; 0
[1.78, 0.42]; 0
[1.8, 0.42]; 0
[1.82, 0.42]; 0
[1.84, 0.42]; 0
[1.86, 0.42]; 0
[1.88, 0.42]; 0
[1.9, 0.42]; 0
[1.92, 0.42]; 0
[1.94, 0.42]; 0
[1.96, 0.42]; 0
[1.98, 0.42]; 0
[2.0, 0.42]; 0
[0.0, 0.45]; 0
[0.02, 0.45]; 0
[0.04, 0.45]; 0
[0.06, 0.45]; 0
[0.08, 0.45]; 0
[0.1, 0.45]; 0
[0.12, 0.45]; 0
[0.14, 0.45]; 0
[0.16, 0.45]; 1
[0.18, 0.45]; 1
[0.2, 0.45]; 1
[0.22, 0.45]; 1
[0.24, 0.45]; 1
[0.26, 0.45]; 1
[0.28, 0.45]; 1
[0.3, 0.45]; 1
[0.32, 0.45]; 1
[0.34, 0.45]; 1
[0.36, 0.45]; 1
[0.38, 0.45]; 1
[0.4, 0.45]; 1
[0.42, 0.45]; 1
[0.44, 0.45]; 1
[0.46, 0.45]; 1
[0.48, 0.45]; 1
[0.5, 0.45]; 1
[0.52, 0.45]; 1
[0.54, 0.45]; 1
[0.56, 0.45]; 1
[0.58, 0.45]; 1
[0.6, 0.45]; 1
[0.62, 0.45]; 1
[0.64, 0.45]; 1
[0.66, 0.45]; 1
[0.68, 0.45]; 1
[0.7, 0.45]; 1
[0.72, 0.45]; 1
[0.74, 0.45]; 1
[0.76, 0.45]; 1
[0.78, 0.45]; 1
[0.8, 0.45]; 1
[0.82, 0.45]; 1
[0.84, 0.45]; 1
[0.86, 0.45]; 1
[0.88, 0.45]; 1
[0.9, 0.45]; 1
[0.92, 0.45]; 1
[0.94, 0.45]; 1
[0.96, 0.45]; 1
[0.98, 0.45]; 1
[1.0, 0.45]; 1
[1.02, 0.45]; 1
[1.04, 0.45]; 1
[1.06, 0.45]; 1
[1.08, 0.45]; 0
[1.1, 0.45]; 0
[1.12, 0.45]; 0
[1.14, 0.45]; 0
[1.16, 0.45]; 0
[1.18, 0.45]; 0
[1.2, 0.45]; 0
[1.22, 0.45]; 0
[1.24, 0.45]; 0
[1.26, 0.45]; 0
[1.28, 0.45]; 0
[1.3, 0.45]; 0
[1.32, 0.45]; 0
[1.34, 0.45]; 0
[1.36, 0.45]; 0
[1.38, 0.45]; 0
[1.4, 0.45]; 0
[1.42, 0.45]; 0
[1.44, 0.45]; 0
[1.46, 0.45]; 0
[1.48, 0.45]; 0
[1.5, 0.45]; 0
[1.52, 0.45]; 0
[1.54, 0.45]; 0
[1.56, 0.45]; 0
[1.58, 0.45]; 0
[1.6, 0.45]; 0
[1.62, 0.45]; 0
[1.64, 0.45]; 0
[1.66, 0.45]; 0
[1.68, 0.45]; 0
[1.7, 0.45]; 0
[1.72, 0.45]; 0
[1.74, 0.45]; 0
[1.76, 0.45]; 0
[1.78, 0.45]; 0
[1.8, 0.45]; 0
[1.82, 0.45]; 0
[1.84, 0.45]; 0
[1.86, 0.45]; 0
[1.88, 0.45]; 0
[1.9, 0.45]; 0
[1.92, 0.45]; 0
[1.94, 0.45]; 0
[1.96, 0.45]; 0
[1.98, 0.45]; 0
[2.0, 0.45]; 0
[0.0, 0.48]; 0
[0.02, 0.48]; 0
[0.04, 0.48]; 0
[0.06, 0.48]; 0
[0.08, 0.48]; 0
[0.1, 0.48]; 0
[0.12, 0.48]; 0
[0.14, 0.48]; 0
[0.16, 0.48]; 1
[0.18, 0.48]; 1
[0.2, 0.48]; 1
[0.22, 0.48]; 1
[0.24, 0.48]; 1
[0.26, 0.48]; 1
[0.28, 0.48]; 1
[0.3, 0.48]; 1
[0.32, 0.48]; 1
[0.34, 0.48]; 1
[0.36, 0.48]; 1
[0.38, 0.48]; 1
[0.4, 0.48]; 1
[0.42, 0.48]; 1
[0.44, 0.48]; 1
[0.46, 0.48]; 1
[0.48, 0.48]; 1
[0.5, 0.48]; 1
[0.52, 0.48]; 1
[0.54, 0.48]; 1
[0.56, 0.48]; 1
[0.58, 0.48]; 1
[0.6, 0.48]; 1
[0.62, 0.48]; 1
[0.64, 0.48]; 1
[0.66, 0.48]; 1
[0.68, 0.48]; 1
[0.7, 0.48]; 1
[0.72, 0.48]; 1
[0.74, 0.48]; 1
[0.76, 0.48]; 1
[0.78, 0.48]; 1
[0.8, 0.48]; 1
[0.82, 0.48]; 1
[0.84, 0.48]; 1
[0.86, 0.48]; 1
[0.88, 0.48]; 1
[0.9, 0.48]; 1
[0.92, 0.48]; 1
[0.94, 0.48]; 1
[0.96, 0.48]; 1
[0.98, 0.48]; 1
[1.0, 0.48]; 1
[1.02, 0.48]; 1
[1.04, 0.48]; 1
[1.06, 0.48]; 1
[1.08, 0.48]; 1
[1.1, 0.48]; 1
[1.12, 0.48]; 0
[1.14, 0.48]; 0
[1.16, 0.48]; 0
[1.18, 0.48]; 0
[1.2, 0.48]; 0
[1.22, 0.48]; 0
[1.24, 0.48]; 0
[1.26, 0.48]; 0
[1.28, 0.48]; 0
[1.3, 0.48]; 0
[1.32, 0.48]; 0
[1.34, 0.48]; 0
[1.36, 0.48]; 0
[1.38, 0.48]; 0
[1.4, 0.48]; 0
[1.42, 0.48]; 0
[1.44, 0.48]; 0
[1.46, 0.48]; 0
[1.48, 0.48]; 0
[1.5, 0.48]; 0
[1.52, 0.48]; 0
[1.54, 0.48]; 0
[1.56, 0.48]; 0
[1.58, 0.48]; 0
[1.6, 0.48]; 0
[1.62, 0.48]; 0
[1.64, 0.48]; 0
[1.66, 0.48]; 0
[1.68, 0.48]; 0
[1.7, 0.48]; 0
[1.72, 0.48]; 0
[1.74, 0.48]; 0
[1.76, 0.48]; 0
[1.78, 0.48]; 0
[1.8, 0.48]; 0
[1.82, 0.48]; 0
[1.84, 0.48]; 0
[1.86, 0.48]; 0
[1.88, 0.48]; 0
[1.9, 0.48]; 0
[1.92, 0.48]; 0
[1.94, 0.48]; 0
[1.96, 0.48]; 0
[1.98, 0.48]; 0
[2.0, 0.48]; 0
[0.0, 0.51]; 0
[0.02, 0.51]; 0
[0.04, 0.51]; 0
[0.06, 0.51]; 0
[0.08, 0.51]; 0
[0.1, 0.51]; 0
[0.12, 0.51]; 0
[0.14, 0.51]; 0
[0.16, 0.51]; 0
[0.18, 0.51]; 1
[0.2, 0.51]; 1
[0.22, 0.51]; 1
[0.24, 0.51]; 1
[0.26, 0.51]; 1
[0.28, 0.51]; 1
[0.3, 0.51]; 1
[0.32, 0.51]; 1
[0.34, 0.51]; 1
[0.36, 0.51]; 1
[0.38, 0.51]; 1
[0.4, 0.51]; 1
[0.42, 0.51]; 1
[0.44, 0.51]; 1
[0.46, 0.51]; 1
[0.48, 0.51]; 1
[0.5, 0.51]; 1
[0.52, 0.51]; 1
[0.54, 0.51]; 1
[0.56, 0.51]; 1
[0.58, 0.51]; 1
[0.6, 0.51]; 1
[0.62, 0.51]; 1
[0.64, 0.51]; 1
[0.66, 0.51]; 1
[0.68, 0.51]; 1
[0.7, 0.51]; 1
[0.72, 0.51]; 1
[0.74, 0.51]; 1
[0.76, 0.51]; 1
[0.78, 0.51]; 1
[0.8, 0.51]; 1
[0.82, 0.51]; 1
[0.84, 0.51]; 1
[0.86, 0.51]; 1
[0.88, 0.51]; 1
[0.9, 0.51]; 1
[0.92, 0.51]; 1
[0.94, 0.51]; 1
[0.96, 0.51]; 1
[0.98, 0.51]; 1
[1.0, 0.51]; 1
[1.02, 0.51]; 1
[1.04, 0.51]; 1
[1.06, 0.51]; 1
[1.08, 0.51]; 1
[1.1, 0.51]; 1
[1.12, 0.51]; 1
[1.14, 0.51]; 0
[1.16, 0.51]; 0
[1.18, 0.51]; 0
[1.2, 0.51]; 0
[1.22, 0.51]; 0
[1.24, 0.51]; 0
[1.26, 0.51]; 0
[1.28, 0.51]; 0
[1.3, 0.51]; 0
[1.32, 0.51]; 0
[1.34, 0.51]; 0
[1.36, 0.51]; 0
[1.38, 0.51]; 0
[1.4, 0.51]; 0
[1.42, 0.51]; 0
[1.44, 0.51]; 0
[1.46, 0.51]; 0
[1.48, 0.51]; 0
[1.5, 0.51]; 0
[1.52, 0.51]; 0
[1.54, 0.51]; 0
[1.56, 0.51]; 0
[1.58, 0.51]; 0
[1.6, 0.51]; 0
[1.62, 0.51]; 0
[1.64, 0.51]; 0
[1.66, 0.51]; 0
[1.68, 0.51]; 0
[1.7, 0.51]; 0
[1.72, 0.51]; 0
[1.74, 0.51]; 0
[1.76, 0.51]; 0
[1.78, 0.51]; 0
[1.8, 0.51]; 0
[1.82, 0.51]; 0
[1.84, 0.51]; 0
[1.86, 0.51]; 0
[1.88, 0.51]; 0
[1.9, 0.51]; 0
[1.92, 0.51]; 0
[1.94, 0.51]; 0
[1.96, 0.51]; 0
[1.98, 0.51]; 0
[2.0, 0.51]; 0
[0.0, 0.54]; 0
[0.02, 0.54]; 0
[0.04, 0.54]; 0
[0.06, 0.54]; 0
[0.08, 0.54]; 0
[0.1, 0.54]; 0
[0.12, 0.54]; 0
[0.14, 0.54]; 0
[0.16, 0.54]; 0
[0.18, 0.54]; 0
[0.2, 0.54]; 0
[0.22, 0.54]; 1
[0.24, 0.54]; 1
[0.26, 0.54]; 1
[0.28, 0.54]; 1
[0.3, 0.54]; 1
[0.32, 0.54]; 1
[0.34, 0.54]; 1
[0.36, 0.54]; 1
[0.38, 0.54]; 1
[0.4, 0.54]; 1
[0.42, 0.54]; 1
[0.44, 0.54]; 1
[0.46, 0.54]; 1
[0.48, 0.54]; 1
[0.5, 0.54]; 1
[0.52, 0.54]; 1
[0.54, 0.54]; 1
[0.56, 0.54]; 1
[0.58, 0.54]; 1
[0.6, 0.54]; 1
[0.62, 0.54]; 1
[0.64, 0.54]; 1
[0.66, 0.54]; 1
[0.68, 0.54]; 1
[0.7, 0.54]; 1
[0.72, 0.54]; 1
[0.74, 0.54]; 1
[0.76, 0.54]; 1
[0.78, 0.54]; 1
[0.8, 0.54]; 1
[0.82, 0.54]; 1
[0.84, 0.54]; 1
[0.86, 0.54]; 1
[0.88, 0.54]; 1
[0.9, 0.54]; 1
[0.92, 0.54]; 1
[0.94, 0.54]; 1
[0.96, 0.54]; 1
[0.98, 0.54]; 1
[1.0, 0.54]; 1
[1.02, 0.54]; 1
[1.04, 0.54]; 1
[1.06, 0.54]; 1
[1.08, 0.54]; 1
[1.1, 0.54]; 1
[1.12, 0.54]; 1
[1.14, 0.54]; 1
[1.16, 0.54]; 0
[1.18, 0.54]; 0
[1.2, 0.54]; 0
[1.22, 0.54]; 0
[1.24, 0.54]; 0
[1.26, 0.54]; 0
[1.28, 0.54]; 0
[1.3, 0.54]; 0
[1.32, 0.54]; 0
[1.34, 0.54]; 0
[1.36, 0.54]; 0
[1.38, 0.54]; 0
[1.4, 0.54]; 0
[1.42, 0.54]; 0
[1.44, 0.54]; 0
[1.46, 0.54]; 0
[1.48, 0.54]; 0
[1.5, 0.54]; 0
[1.52, 0.54]; 0
[1.54, 0.54]; 0
[1.56, 0.54]; 0
[1.58, 0.54]; 0
[1.6, 0.54]; 0
[1.62, 0.54]; 0
[1.64, 0.54]; 0
[1.66, 0.54]; 0
[1.68, 0.54]; 0
[1.7, 0.54]; 0
[1.72, 0.54]; 0
[1.74, 0.54]; 0
[1.76, 0.54]; 0
[1.78, 0.54]; 0
[1.8, 0.54]; 0
[1.82, 0.54]; 0
[1.84, 0.54]; 0
[1.86, 0.54]; 0
[1.88, 0.54]; 0
[1.9, 0.54]; 0
[1.92, 0.54]; 0
[1.94, 0.54]; 0
[1.96, 0.54]; 0
[1.98, 0.54]; 0
[2.0, 0.54]; 0
[0.0, 0.57]; 0
[0.02, 0.57]; 0
[0.04, 0.57]; 0
[0.06, 0.57]; 0
[0.08, 0.57]; 0
[0.1, 0.57]; 0
[0.12, 0.57]; 0
[0.14, 0.57]; 0
[0.16, 0.57]; 0
[0.18, 0.57]; 0
[0.2, 0.57]; 0
[0.22, 0.57]; 1
[0.24, 0.57]; 1
[0.26, 0.57]; 1
[0.28, 0.57]; 1
[0.3, 0.57]; 1
[0.32, 0.57]; 1
[0.34, 0.57]; 1
[0.36, 0.57]; 1
[0.38, 0.57]; 1
[0.4, 0.57]; 1
[0.42, 0.57]; 1
[0.44, 0.57]; 1
[0.46, 0.57]; 1
[0.48, 0.57]; 1
[0.5, 0.57]; 1
[0.52, 0.57]; 1
[0.54, 0.57]; 1
